Date,BTC,DXY,Gold,SP500,Yield_10Y,VIX
2023-08-09,29561.494140625,102.48999786376953,1915.4000244140625,4467.7099609375,4.01200008392334,15.960000038146973
2023-08-10,29429.591796875,102.5199966430664,1914.4000244140625,4468.830078125,4.079999923706055,15.850000381469727
2023-08-11,29397.71484375,102.83999633789062,1912.9000244140625,4464.0498046875,4.168000221252441,14.84000015258789
2023-08-12,29415.96484375,,,,,
2023-08-13,29282.9140625,,,,,
2023-08-14,29408.443359375,103.19000244140625,1910.5999755859375,4489.72021484375,4.184000015258789,14.819999694824219
2023-08-15,29170.34765625,103.20999908447266,1902.5,4437.85986328125,4.2210001945495605,16.459999084472656
2023-08-16,28701.779296875,103.41999816894531,1896.0999755859375,4404.330078125,4.257999897003174,16.780000686645508
2023-08-17,26664.55078125,103.44000244140625,1884.0999755859375,4370.35986328125,4.308000087738037,17.889999389648438
2023-08-18,26049.556640625,103.37999725341797,1886.0999755859375,4369.7099609375,4.250999927520752,17.299999237060547
2023-08-19,26096.205078125,,,,,
2023-08-20,26189.583984375,,,,,
2023-08-21,26124.140625,103.33000183105469,1893.300048828125,4399.77001953125,4.3420000076293945,17.1299991607666
2023-08-22,26031.65625,103.55999755859375,1896.4000244140625,4387.5498046875,4.328000068664551,16.969999313354492
2023-08-23,26431.640625,103.36000061035156,1918.5,4436.009765625,4.197999954223633,15.979999542236328
2023-08-24,26162.373046875,103.9800033569336,1918.199951171875,4376.31005859375,4.235000133514404,17.200000762939453
2023-08-25,26047.66796875,104.08000183105469,1911.0999755859375,4405.7099609375,4.238999843597412,15.680000305175781
2023-08-26,26008.462890625,,,,,
2023-08-27,26089.693359375,,,,,
2023-08-28,26106.150390625,104.05999755859375,1917.9000244140625,4433.31005859375,4.211999893188477,15.079999923706055
2023-08-29,27727.392578125,103.55000305175781,1936.5,4497.6298828125,4.122000217437744,14.449999809265137
2023-08-30,27297.265625,103.16000366210938,1944.300048828125,4514.8701171875,4.118000030517578,13.880000114440918
2023-08-31,25931.47265625,103.62000274658203,1938.199951171875,4507.66015625,4.0929999351501465,13.569999694824219
2023-09-01,25800.724609375,104.23999786376953,1939.800048828125,4515.77001953125,4.172999858856201,13.09000015258789
2023-09-02,25868.798828125,,,,,
2023-09-03,25969.56640625,,,,,
2023-09-04,25812.416015625,,,,,
2023-09-05,25779.982421875,104.80999755859375,1926.199951171875,4496.830078125,4.26800012588501,14.010000228881836
2023-09-06,25753.236328125,104.86000061035156,1918.0999755859375,4465.47998046875,4.289999961853027,14.449999809265137
2023-09-07,26240.1953125,105.05999755859375,1917.5,4451.14013671875,4.260000228881836,14.399999618530273
2023-09-08,25905.654296875,105.08999633789062,1918.4000244140625,4457.490234375,4.257999897003174,13.84000015258789
2023-09-09,25895.677734375,,,,,
2023-09-10,25832.2265625,,,,,
2023-09-11,25162.654296875,104.56999969482422,1923.300048828125,4487.4599609375,4.288000106811523,13.800000190734863
2023-09-12,25833.34375,104.70999908447266,1911.300048828125,4461.89990234375,4.263999938964844,14.229999542236328
2023-09-13,26228.32421875,104.7699966430664,1909.0999755859375,4467.43994140625,4.249000072479248,13.479999542236328
2023-09-14,26539.673828125,105.41000366210938,1910.0,4505.10009765625,4.288000106811523,12.819999694824219
2023-09-15,26608.693359375,105.31999969482422,1923.699951171875,4450.31982421875,4.322000026702881,13.789999961853027
2023-09-16,26568.28125,,,,,
2023-09-17,26534.1875,,,,,
2023-09-18,26754.28125,105.19999694824219,1931.5,4453.52978515625,4.318999767303467,14.0
2023-09-19,27211.1171875,105.19999694824219,1932.0,4443.9501953125,4.364999771118164,14.109999656677246
2023-09-20,27132.0078125,105.16000366210938,1945.5999755859375,4402.2001953125,4.348999977111816,15.140000343322754
2023-09-21,26567.6328125,105.36000061035156,1919.199951171875,4330.0,4.480000019073486,17.540000915527344
2023-09-22,26579.568359375,105.58000183105469,1925.4000244140625,4320.06005859375,4.438000202178955,17.200000762939453
2023-09-23,26579.390625,,,,,
2023-09-24,26256.826171875,,,,,
2023-09-25,26298.48046875,106.0,1916.5999755859375,4337.43994140625,4.541999816894531,16.899999618530273
2023-09-26,26217.25,106.2300033569336,1900.4000244140625,4273.52978515625,4.558000087738037,18.940000534057617
2023-09-27,26352.716796875,106.66999816894531,1871.5999755859375,4274.509765625,4.625999927520752,18.219999313354492
2023-09-28,27021.546875,106.22000122070312,1860.4000244140625,4299.7001953125,4.5970001220703125,17.34000015258789
2023-09-29,26911.720703125,106.16999816894531,1848.0999755859375,4288.0498046875,4.572999954223633,17.520000457763672
2023-09-30,26967.916015625,,,,,
2023-10-01,27983.75,,,,,
2023-10-02,27530.78515625,106.9000015258789,1830.0,4288.39013671875,4.683000087738037,17.610000610351562
2023-10-03,27429.978515625,107.0,1824.5999755859375,4229.4501953125,4.802000045776367,19.780000686645508
2023-10-04,27799.39453125,106.80000305175781,1818.5,4263.75,4.735000133514404,18.579999923706055
2023-10-05,27415.912109375,106.33000183105469,1816.5999755859375,4258.18994140625,4.7170000076293945,18.489999771118164
2023-10-06,27946.59765625,106.04000091552734,1830.199951171875,4308.5,4.783999919891357,17.450000762939453
2023-10-07,27968.83984375,,,,,
2023-10-08,27935.08984375,,,,,
2023-10-09,27583.677734375,106.08000183105469,1849.5,4335.66015625,4.796999931335449,17.700000762939453
2023-10-10,27391.01953125,105.83000183105469,1861.0,4358.240234375,4.65500020980835,17.030000686645508
2023-10-11,26873.3203125,105.81999969482422,1872.800048828125,4376.9501953125,4.59499979019165,16.09000015258789
